G0|Baseline|-
G0-01|Freeze Linux amd64 Python 3.12 dependency artifacts|requirements.txt,requirements/,Dockerfile,docker/|C10|Generate a complete transitive hash lock and wheel manifest without changing application behavior; bind the direct spaCy model artifact and installer/bootstrap versions|Two isolated resolutions agree; offline wheel installation succeeds with --require-hashes; pip check passes; unsupported platforms are explicitly rejected
G0-02|Prove clean image and PostgreSQL bootstrap|Dockerfile,docker/,docker-compose.yml,docker-compose.prod.yml|C10|Build from G0-01 artifacts, pin image digests, record OS package inventory and run empty-database migrations|Clean no-cache build; compose config; manage.py check; repeated bootstrap has no migration race; logs bind image digest
G0-03|Qualify baseline tests and Qdrat CI triggers|.github/workflows/,Makefile,pyproject.toml|C10|Target actual Qdrat PR bases and main; retain PostgreSQL and existing correctness/coverage requirements|Required workflows visibly run on a Qdrat PR; make test-cov passes at >=26; makemigrations --check --dry-run is clean; failed checks block completion
G0-04|Capture baseline SBOM and source manifest|docs/qdrat/baseline/,scripts/supply_chain/|C10|Inventory Python/OS/vendored assets and inherited notices against exact built digest|SBOM covers image plus direct wheel; advisory snapshot freshness recorded; unknown licenses and unresolved critical risks have explicit release dispositions
G0-05|Inventory legacy domains and execution surfaces|docs/qdrat/baseline/|C01|Map routes, models, migrations, jobs, file consumers, permissions, integrations and module owners; explicitly record backup/media/CI gaps|Every installed app and startup job has owner and migration disposition; no runtime claims without evidence; independent reviewer checks representative paths
G0-06|Seal reproducible baseline evidence|docs/qdrat/baseline/,docs/qdrat/plan/evidence/|C10|Bind G0 receipts to exact head, image, lock, tests and observed limitations|All six G0 obligations satisfied on same accepted revision; no missing logs or inconclusive build counted as pass
G1|Kernel and trust|G0
G1-01|Create module boundaries and stable ObjectRef registry|qdrat/kernel/,horilla/settings/,tests/architecture/|C01|Add tenant-scoped UUID registry and owner-module catalog without renaming legacy rows|Unique tenant/type/id; no orphan mappings; cross-module writes fail architecture checks; reversible expand migration
G1-02|Map local users to Principal and Membership|qdrat/trust/,base/,horilla_api/|C02|Introduce explicit human/service/external/agent identity and legacy-user mapping|Existing login still works; disabled membership cannot act; service identity is not an employee; cross-tenant mapping refused
G1-03|Implement policy decisions and field query scopes|qdrat/trust/,qdrat/kernel/|C02|Version decisions and enforce action/object/field/purpose scope on one directory query and command|Deny and indeterminate fail closed; list/count/export equivalence; expected revision prevents lost update; policy epoch revokes cached decisions
G1-04|Add effective-dated Directory records|qdrat/directory/,employee/,base/|C01,C02|Map Person Organization LegalEntity Team Position and Employment references to legacy keys|Stable imported IDs; multi-employment is representable; effective intervals validated; restricted fields omitted without implying deletion
G1-05|Add transactional events and evidence records|qdrat/kernel/,qdrat/trust/|C03|Commit domain mutation plus outbox/evidence intent atomically; consumer inbox dedupes|Crash before/after commit does not lose mutation event; duplicate delivery has one consumer effect; audit contains actor/revision and no secret values
G1-06|Bind files to owning objects|qdrat/knowledge/,base/views.py,base/urls.py,tests/|C08|Add FileObject ownership registry and migrate sensitive media download to object policy with legacy reconciliation|Unauthenticated and out-of-scope reads denied; permitted downloads preserved; hidden/active-content controls retained; orphan files quarantined
G1-07|Introduce protected secret references and local recovery keys|qdrat/trust/,horilla/settings/,docker/|C02,C10|Move new integration secrets to encrypted references with external master key and rotation/recovery metadata|No plaintext secret in logs/export; rotate without losing access; restore with correct keys succeeds and wrong/missing keys fail safely
G1-08|Provide a local backup and restore foundation|qdrat/operations/,horilla_backup/,scripts/|C10|Create database/blob/config/key-reference manifest and restore procedure; disable or clearly isolate unqualified legacy backup jobs|Restore synthetic deployment to another directory/host; record counts and blob digests; outbound jobs remain paused; interrupted backup cannot be selected as complete
G1-09|Create bilingual shell and protected directory page|frontend/,qdrat/directory/,qdrat/api/|C01,C02|Introduce shared Home My Work Inbox object page and typed directory API for one route|Arabic/English route completion; keyboard/mobile access; no UI-only permissions; legacy navigation remains available during cutover
G1-10|Add local MFA bootstrap and OIDC identity binding|qdrat/trust/,qdrat/api/,frontend/|C02|Customer-controlled local MFA/recovery plus optional OIDC issuer-subject mapping|Offline local recovery; issuer/audience/nonce checks; no email-only account takeover mapping; explicit admin role mapping
G1-11|Add SCIM deprovision and expiring delegation|qdrat/trust/,qdrat/api/|C02,C06|Deactivate principals/memberships and narrow delegated authority with expiry|Idempotent SCIM replay; active tokens/jobs observe revocation; delegation cannot expand scope; self-elevation denied
G2|Data connections|G1
G2-01|Register connector manifests and data sources|qdrat/data/,connectors/|C04|Version configuration schemas capabilities credentials egress and supported modes|Invalid/unsigned unqualified package rejected; read and write scopes separate; source account identity visible in admin
G2-02|Preview spreadsheet and file imports|qdrat/data/,frontend/,tests/fixtures/|C04,C10|Stage CSV/XLSX/files with mapping preview field typing and error ledger|Formula-like cell content stays data; oversize/corrupt import rejected; duplicate keys and unknown fields shown before apply
G2-03|Implement PostgreSQL read-only discovery and paging|connectors/postgres/,qdrat/data/|C04,C07|Read approved schemas using read-only role, parameterized templates and budgets|No write capability; stable bounded cursor; timeout/row budget; quoted identifiers; ACL field absence remains distinct
G2-04|Implement canonical mapping and field authority|qdrat/data/,qdrat/kernel/|C04|Persist ExternalIdentity MappingRevision FieldAuthority and observations|Overlapping owners rejected; repeat import idempotent; tombstones preserve history; local proposal cannot overwrite external owner
G2-05|Add HTTPS connector and webhook conformance kit|connectors/http/,qdrat/data/,tests/connectors/|C04|Allowlisted OpenAPI operations, signed callbacks, rate/retry budgets and fake provider fixtures|429 handled; schema drift stops writes; signature/replay/size errors denied; source deletion and permissions reflected
G2-06|Add write-through reconciliation journal|qdrat/data/,qdrat/automation/|C04,C05|Prepare bound external WriteIntent and lookup/reconcile unknown outcomes|Lost response enters UNKNOWN_OUTCOME; no blind resend; remote idempotency key conflicts detected; human sees unresolved effects
G2-07|Qualify snapshot plus PostgreSQL CDC|connectors/postgres/,qdrat/data/|C04|Add consistent snapshot/watermark handoff, checkpoint and resnapshot protocol|No missing/duplicate canonical effects across snapshot boundary; expired history forces resnapshot; replication slot growth bounded
G2-08|Implement customer network bridge|qdrat/bridge/,connectors/,deploy/|C04,C02|Outbound mTLS channel for declared connector operations with bounded encrypted spool|No general shell capability; certificate rotation and revocation; disconnect preserves checkpoint; stale response rejected
G3|Durable automation|G1
G3-01|Implement ActionDefinition and operation API|qdrat/automation/,qdrat/api/|C01,C05|Validate versioned action arguments target and idempotency before dispatch|Changed payload under same key conflicts; actor/tenant binding persists; operation reads reauthorize
