adduser	3.152
apt	3.0.3
base-files	13.8+deb13u7
base-passwd	3.6.7
bash	5.2.37-2+b10
bsdutils	1:2.41.5-0+deb13u1
ca-certificates	20250419
coreutils	9.7-3
curl	8.14.1-2+deb13u5
dash	0.5.12-12
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
dpkg	1.22.22
findutils	4.10.0-3
fontconfig	2.15.0-2.3
fontconfig-config	2.15.0-2.3
fonts-dejavu-core	2.37-8
fonts-dejavu-mono	2.37-8
gcc-14-base:amd64	14.2.0-19
gettext	0.23.1-2
gettext-base	0.23.1-2
grep	3.11-4
gzip	1.13-1+deb13u1
hostname	3.25
init-system-helpers	1.69~deb13u1
libacl1:amd64	2.3.2-2+b1
libapt-pkg7.0:amd64	3.0.3
libatomic1:amd64	14.2.0-19
libattr1:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2+deb13u1
libaudit1:amd64	1:4.0.2-2+deb13u1
libblkid1:amd64	2.41.5-0+deb13u1
libbrotli1:amd64	1.1.0-2+b7
libbsd0:amd64	0.12.2-2
libbz2-1.0:amd64	1.0.8-6
libc-bin	2.41-12+deb13u4
libc6:amd64	2.41-12+deb13u4
libcairo2:amd64	1.18.4-1+b1
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+deb13u1+b3
libcom-err2:amd64	1.47.2-3+b12
libcrypt1:amd64	1:4.4.38-1
libcurl4t64:amd64	8.14.1-2+deb13u5
libdatrie1:amd64	0.2.13-3+b1
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdebconfclient0:amd64	0.280
libdeflate0:amd64	1.23-2
libexpat1:amd64	2.8.3-1~deb13u1
libffi8:amd64	3.4.8-2
libfontconfig1:amd64	2.15.0-2.3
libfreetype6:amd64	2.13.3+dfsg-1+deb13u1
libfribidi0:amd64	1.0.16-1
libgcc-s1:amd64	14.2.0-19
libgcrypt20:amd64	1.11.0-7+deb13u1
libgdbm6t64:amd64	1.24-2
libgdk-pixbuf-2.0-0:amd64	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf-xlib-2.0-0:amd64	2.40.2-5
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
libglib2.0-0t64:amd64	2.84.4-3~deb13u5
libgmp10:amd64	2:6.3.0+dfsg-3
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgomp1:amd64	14.2.0-19
libgpg-error0:amd64	1.51-4
libgraphite2-3:amd64	1.3.14-2+deb13u1
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libharfbuzz0b:amd64	10.2.0-1+deb13u1
libhogweed6t64:amd64	3.10.1-1
libidn2-0:amd64	2.3.8-2
libjbig0:amd64	2.1-6.1+b2
libjpeg62-turbo:amd64	1:2.1.5-4
libk5crypto3:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap2:amd64	2.6.10+dfsg-1
liblerc4:amd64	4.0.0+ds-5
liblz4-1:amd64	1.10.0-4
liblzma5:amd64	5.8.1-1+deb13u1
libmd0:amd64	1.1.0-2+b1
libmount1:amd64	2.41.5-0+deb13u1
libncursesw6:amd64	6.5+20250216-2
libnettle8t64:amd64	3.10.1-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libp11-kit0:amd64	0.25.5-3
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g:amd64	1.7.0-5
libpango-1.0-0:amd64	1.56.3-1
libpcre2-8-0:amd64	10.46-1~deb13u2
libpixman-1-0:amd64	0.44.0-3
libpng16-16t64:amd64	1.6.48-1+deb13u5
libpq5:amd64	17.11-0+deb13u1
libpsl5t64:amd64	0.21.2-1.1+b1
libreadline8t64:amd64	8.2-6
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
